Employee_ID,Employee_Name,Manager_Employee_ID,Gender,Date_Of_Birth,Mail_ID,Department,Designation,Region_Location,Source_Of_Hiring,Cost_Per_Hire,Experience_Type,Date_Of_Joining,Last_Working_Date,Total_Working_Days,Days_Present,Sick_Leaves_Taken,Casual_Leaves_Taken,Unplanned_Absences,Late_Arrival_Count,Reason_For_Leaving,Employment_Status,Work_Mode,Transportation_Type,Annual_CTC,Training_Hours,Overtime_Hours,Productivity_Score,KPI_Achievement_Rate,Engagement_Score,Satisfaction_Score,Flight_Risk_Indicator,Performance_Rating
EMP-0001,  Sanjay   Reddy ,,M,06/02/1996,,Technology,,BENGALURU,,,Fresher,2022-04-04,,240,,,,,,,Active,Hybrid,OWN VEHICLE,,,,,,2,4,,3.0
EMP-0002,pradeep rao,EMP-0100,male,1976-09-08,pradeep_rao@company.com,Technology,Executive,West - Mumbai,COMPANY CAREER SITE,0,FRESHER,05 Apr 2024,2024-10-06,240,221.0,7,4.0,8.0,11,Involuntary - Restructuring,Inactive,Hybrid,Own Vehicle,26.79,21,33,47,50,6,1,High,3.0
EMP-0003,rajesh iyer,DIR-0001,Male,27 Sep 1998,rajesh.iyer@gmail.com,Sales,MANAGER,chennai,naukri,0,EXPERIENCED,02-22-2024,,240,232.0,3,5.0,0.0,2,,Active,WFH,Own Vehicle,21.43,71,7,60,65,4,4,LOW,3.0
EMP-0004,ananya reddy,EMP-0350,female,1975-03-02,ananya_reddy@gmail.com,Operations,Assistant Manager,West - Mumbai,Naukri,0,Experienced,04-21-2022,,240,227.0,6,7.0,0.0,1,,Active,ONSITE,Company Cab,18.17,89,20,72,69,8,3,Low,4.0
EMP-0005,Karthik Iyer,EMP-0320,Male,05-02-1984,  karthik94@outlook.com ,,Senior Executive,East - Kolkata,LinkedIn,0,Experienced,08-21-2020,2022-03-03,240,221.0,7,5.0,7.0,16,Relocation / Personal Reasons,Resigned,Work From Home,Public Transport,7.32,97,33,68,73%,6,1,High,2.0
EMP-0006,kavitha rao,EMP-0010,,04-11-1979,KAVITHA.RAO@OUTLOOK.COM,Human Resources,Senior Executive,South - Bangalore,Employee Referral,2500,Experienced,22 Sep 2023,,240,219.0,6,8.0,7.0,19,,Active,Onsite,Own Vehicle,7.32,92,3,68%,71,9,1,High,3.0
EMP-0007,Pradeep Joshi,EMP-0050,M,07 Jan 2002,  pradeep24@company.com ,IT,EXECUTIVE,,LinkedIn,0,Experienced,04/03/2024,,240,212.0,14,7.0,7.0,15,,Active,ONSITE,Company Cab,4.92 LPA,17,24,56,55,3,2,High,4.0
EMP-0008,sneha joshi,EMP-0160,,2001-03-18,SNEHA.JOSHI@COMPANY.COM,Sales,Executive,BENGALURU,Naukri,0,Fresher,2022/08/01,,240,228.0,6,6.0,0.0,3,,Active,Hybrid,Company Cab,24.72,30,14,64,61,7,3,High,2.0
EMP-0009,Lakshmi Reddy,,female,21/11/1975,LAKSHMI.REDDY@OUTLOOK.COM,Sales,  Manager ,CHENNAI,LINKEDIN,0,Experienced,05/02/2019,10 May 2019,240,214.0,12,6.0,8.0,10,Involuntary - Performance,Inactive,Onsite,Own Vehicle,18.23,90,3,65,71%,4,1,high,2.0
EMP-0010,Vikram Patel,EMP-0010,Male,1989/10/04,vikram_patel@gmail.com,HR,assistant manager,South - Bangalore,Naukri,0,Experienced,2022-07-14,,240,212.0,9,10.0,9.0,9,,Active,Onsite,Company Cab,20.85,96,44,55,63,5,2,High,3.0
EMP-0011,karthik iyer,EMP-0350,,22 Jul 1978,KARTHIK.IYER@COMPANY.COM,Ops,Senior Executive,North - Delhi,Recruitment Agency,78465,Experienced,2021/02/16,,240,221.0,7,7.0,5.0,13,,Active,Hybrid,own vehicle,"INR 400,000",89,11,72%,0.76,6,1,High,2.0
